data source,Flag,IIP #,Iceberg #,resight,sighting source,Vessel Name,sighting method,latitude,longitude,Ice Season,Year,Month,date,time,size,#bergs,#growlers,#Bergy Bits,Small,Medium,Large,Very Large,Ice Island,Unidentified,shape,length,length flag,height,height flag,width,width flag,draft,draft flag,mass,mass flag,drill site,Comments
IOT,1,3,3,N,Miscellaneous,Cape Race Radio Station,Visual,48.91666667,-50,1933,1933,January,1/25/33,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Several bands of small growlers
IOT,1,11,11,N,Ship,Venus (MS),Visual,48.5,-48.58333333,1933,1933,February,2/23/33,,Berg,5,,,,,,,,,,,,,,,,,,,,,"IIP: Five bergs to southwest and northwest. HB 2271 Mar 15: ~225 miles eastward of C.Race while on the great circle track from Glasgow encountered heavy field ice which extended to the horizon & in which there were 5 bergs to the SW & NW. The speed was reduced but no progress made, course changed to southeastward steaming 34 miles, thence southward for 68 miles, when course was again changed to the westward, after which no more ice was sighted."
IOT,1,13,13,N,Miscellaneous,Cape Race Radio Station,Visual,49.23333333,-49.91666667,1933,1933,February,2/26/33,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP: Slob and broken ice along with growlers
IOT,1,14,14,N,Miscellaneous,Cape Race Radio Station,Visual,48.83333333,-50.25,1933,1933,February,2/26/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,15.1,15.1,N,Ship,Kyno (SS),Visual,43.35,-50.7,1933,1933,February,2/27/33,,Medium,,,,,1,,,,,,61,E,6.1,E,,,,,,,,"IIP: Two bergs about twenty feet high. HB 2270 Mar 8. HB 2272 Mar 22: position approximate, passed 2 long low lying bergs from 20 to 40' high & from 200 to 300' long, ~½ mile apart"
IOT,1,15.2,15.2,N,Ship,Kyno (SS),Visual,43.35,-50.7,1933,1933,February,2/27/33,,Medium,,,,,1,,,,,,91,E,12,E,,,,,,,,"IIP: Two bergs about twenty feet high. HB 2270 Mar 8. HB 2272 Mar 22: position approximate, passed 2 long low lying bergs from 20 to 40' high & from 200 to 300' long, ~½ mile apart"
IOT,1,20,20,N,Miscellaneous,Cape Race Radio Station,Visual,47.8,-49.46666667,1933,1933,March,3/1/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,21,21,N,Miscellaneous,Cape Race Radio Station,Visual,47.7,-49.78333333,1933,1933,March,3/1/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,766,766,N,Ship,Venus,Visual,46.65,-47.6,1933,1933,March,3/3/33,,Large,,,,,,5,,,,,,,,,,,,,,,,NYMR
IOT,1,29,29,N,Ship,Ima,Visual,48.38333333,-49.5,1933,1933,March,3/23/33,,Small,,,,1,,,,,,,,,9.1,E,,,,,,,,"IIP: Small berg and field ice. HB 2274 Apr 4: a small berg ~30' high, 24th"
IOT,1,31,31,N,Ship,General Greene (IIP),Visual,47.4,-50.7,1933,1933,March,3/25/33,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,42,42,N,Ship,Marstenen,Visual,47.63333333,-50.5,1933,1933,March,3/25/33,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,44,44,N,Miscellaneous,Cape Race Radio Station,Visual,48.3,-49.58333333,1933,1933,March,3/28/33,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Drift Ice and small growlers
IOT,1,48.1,48.1,N,Ship,Heddernheim,Visual,48,-49.3,1933,1933,April,4/3/33,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Numerous growlers
IOT,1,48.2,48.2,N,Ship,Heddernheim,Visual,48,-49.3,1933,1933,April,4/3/33,,Berg,1,,,,,,,,,Tabular,,,,,,,,,,,,IIP: Flat Berg
IOT,1,49.1,49.1,N,Ship,Heddernheim,Visual,48.13333333,-49.26666667,1933,1933,April,4/3/33,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Field Ice with bergs and growlers
IOT,1,49.2,49.2,N,Ship,Heddernheim,Visual,48.13333333,-49.26666667,1933,1933,April,4/3/33,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Field Ice with bergs and growlers
IOT,1,50,50,N,Ship,Heddernheim,Visual,48.53333333,-49.48333333,1933,1933,April,4/3/33,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Field ice;Growlers
IOT,1,58,58,N,Ship,Dominica,Visual,46.86666667,-52.7,1933,1933,April,4/13/33,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,67,67,N,Ship,Dominica,Visual,47.43333333,-52.65,1933,1933,April,4/18/33,,Small,,,,2,,,,,,,,,,,,,,,,,,IIP: close by Motion Head
IOT,1,68,68,N,Ship,Dominica,Visual,46.95,-52.8,1933,1933,April,4/18/33,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,63.11,63.11,N,Ship,General Greene (IIP),Visual,46.65,-53.06666667,1933,1933,April,4/21/33,,Berg,x,,,,,,,,,,,,,,,,,,,,,IIP: Several Bergs and growlers between C.Race & St.John's
IOT,0,63.12,63.12,N,Ship,General Greene (IIP),Visual,47.56666667,-52.6,1933,1933,April,4/21/33,,Berg,,,,,,,,,,,,,,,,,,,,,,IIP: Several Bergs and growlers between C.Race & St.John's
IOT,1,63.21,63.21,N,Ship,General Greene (IIP),Visual,46.65,-53.06666667,1933,1933,April,4/21/33,,Growler,,x,,,,,,,,,,,,,,,,,,,,IIP: Several Bergs and growlers between C.Race & St.John's
IOT,0,63.22,63.22,N,Ship,General Greene (IIP),Visual,47.56666667,-52.6,1933,1933,April,4/21/33,,Growler,,,,,,,,,,,,,,,,,,,,,,IIP: Several Bergs and growlers between C.Race & St.John's
IOT,1,64,64,N,Ship,Belle Isle,Visual,46.93333333,-52.81666667,1933,1933,April,4/21/33,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,65,65,N,Ship,Ausonia (SS),Visual,45.88333333,-52.31666667,1933,1933,April,4/21/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,71,71,N,Ship,Consul Corfitzon,Visual,45.83333333,-52.6,1933,1933,April,4/22/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,75,75,N,Ship,Porjus,Visual,45.7,-52.48333333,1933,1933,April,4/23/33,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP: Two growlers and small pieces of ice
IOT,1,76,76,N,Ship,Porjus,Visual,45.58333333,-52.56666667,1933,1933,April,4/23/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,79,79,N,Ship,Alaunia,Visual,45.75,-52.46666667,1933,1933,April,4/24/33,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,80,80,N,Ship,Svend Pii,Visual,47.55,-52.55,1933,1933,April,4/24/33,,Large,,,,,,2,,,,,,,,,,,,,,,,IIP
IOT,1,82,82,N,Ship,Cragpool,Visual,46.5,-53.1,1933,1933,April,4/25/33,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Large growler
IOT,1,86,86,N,Ship,Lepanto,Visual,46.21666667,-52.95,1933,1933,April,4/26/33,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP: Small growler
IOT,1,87,87,N,Ship,Aviemore,Visual,46.08333333,-51.78333333,1933,1933,April,4/26/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,88,88,N,Ship,Kurdistan,Visual,46.78333333,-52.1,1933,1933,May,5/7/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,89,89,N,Ship,Kurdistan,Visual,46.88333333,-52,1933,1933,May,5/7/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,90,90,N,Ship,Frankfurt,Visual,47.3,-51.3,1933,1933,May,5/7/33,,Large,,,,,,1,,,,,,,,,,,,,,,,IIP
IOT,1,91,91,N,Ship,Tonsbergfjord,Visual,47.53333333,-52,1933,1933,May,5/7/33,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,92,92,N,Ship,Tonsbergfjord,Visual,47.58333333,-51.75,1933,1933,May,5/7/33,,Growler,,2,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,93,93,N,Ship,Tonsbergfjord,Visual,47.83333333,-51.53333333,1933,1933,May,5/7/33,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,94,94,N,Ship,Frankfurt,Visual,47.05,-51.96666667,1933,1933,May,5/7/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,95,95,N,Ship,Frankfurt,Visual,46.83333333,-51.96666667,1933,1933,May,5/7/33,,Growler,,1,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,96,89,Y,Ship,Kurdistan,Visual,46.9,-51.86666667,1933,1933,May,5/7/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,97,97,N,Ship,Kurdistan,Visual,46.81666667,-51.5,1933,1933,May,5/7/33,,Berg,1,,,,,,,,,,,,,,,,,,,,,IIP
IOT,1,98,89,Y,Ship,Bochum,Visual,46.86666667,-52.1,1933,1933,May,5/8/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP
IOT,1,99,99,N,Ship,Tonsbergfjord,Visual,48.3,-50.43333333,1933,1933,May,5/8/33,,Small,,,,1,,,,,,,,,,,,,,,,,,IIP: Field Ice and small berg
